rank,purchaser_name_raw,total_amount_inr,total_amount_cr,bond_count,pct_of_corporate_value,cumulative_pct_of_corporate,classification_rule_hit,source_file,source_sha256
1,FUTURE GAMING AND HOTEL SERVICES PR,12080000000,1208.0000,1208,10.5443,10.5443,word:SERVICES,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
2,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,8210000000,821.0000,821,7.1663,17.7106,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
3,QWIKSUPPLYCHAINPRIVATELIMITED,4100000000,410.0000,410,3.5788,21.2894,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
4,HALDIA ENERGY LIMITED,3770000000,377.0000,395,3.2907,24.5801,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
5,VEDANTA LIMITED,3756500000,375.6500,386,3.2789,27.8591,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
6,ESSEL MINING AND INDS LTD,2245000000,224.5000,238,1.9596,29.8187,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
7,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,2200000000,220.0000,220,1.9203,31.7390,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
8,KEVENTER FOODPARK INFRA LIMITED,1950000000,195.0000,204,1.7021,33.4411,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
9,MADANLAL LTD.,1855000000,185.5000,199,1.6192,35.0603,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
10,BHARTI AIRTEL LIMITED,1830000000,183.0000,183,1.5974,36.6576,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
11,YASHODA SUPER SPECIALITY HOSPITAL,1620000000,162.0000,162,1.4141,38.0717,word:HOSPITAL,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
12,UTKAL ALUMINA INTERNATIONAL LIMITED,1353000000,135.3000,138,1.1810,39.2527,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
13,DLF COMMERCIAL DEVELOPERS LIMITED,1300000000,130.0000,130,1.1347,40.3874,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
14,MKJ ENTERPRISES LIMITED,1283500000,128.3500,235,1.1203,41.5077,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
15,JINDAL STEEL AND POWER LIMITED,1230000000,123.0000,123,1.0736,42.5814,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
16,B G SHIRKE CONSTRUCTION TECHNOLOGY PVT L TD,1170000000,117.0000,117,1.0213,43.6026,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
17,DHARIWAL INFRASTRUCTURE LIMITED,1150000000,115.0000,115,1.0038,44.6064,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
18,CHENNAI GREEN WOODS PRIVATE LIMITED,1050000000,105.0000,105,0.9165,45.5229,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
19,BIRLACARBONINDIAPRIVATELIMITED,1050000000,105.0000,105,0.9165,46.4395,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
20,RUNGTA SONS P LTD,1000000000,100.0000,100,0.8729,47.3123,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
21,FUTURE GAMING AND HOTEL SERVICES PRIVATE LIMITED,950000000,95.0000,95,0.8292,48.1416,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
22,IFB AGRO INDUSTRIES LIMITED,923000000,92.3000,95,0.8057,48.9472,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
23,TORRENT  POWER  LIMITED,865000000,86.5000,100,0.7550,49.7023,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
24,AVEES TRADING FINANCE PVT LTD,855000000,85.5000,90,0.7463,50.4486,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
25,DR.REDDY'S LABORATORIES LTD,800000000,80.0000,80,0.6983,51.1469,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
26,PRARAMBH SECURITIES PVT LTDPROPRIET,780000000,78.0000,78,0.6808,51.8277,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
27,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,750000000,75.0000,75,0.6547,52.4824,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
28,MEGHA ENGINEERING AND INFRASTRUCTURES LTD,700000000,70.0000,70,0.6110,53.0934,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
29,FUTURE GAMING AND HOTEL SERVICES PVT LTD,650000000,65.0000,65,0.5674,53.6607,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
30,MKJ ENTERPRISES LTD,640700000,64.0700,89,0.5592,54.2200,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
31,RASHMI CEMENT LTD,635000000,63.5000,68,0.5543,54.7743,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
32,SRI SIDDHARTH INFRATECH AND SERVICES I P,601000000,60.1000,61,0.5246,55.2989,word:INFRATECH,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
33,NCC LIMITED,600000000,60.0000,60,0.5237,55.8226,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
34,INFINA FINANCE PRIVATE LIMITED,600000000,60.0000,60,0.5237,56.3463,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
35,NATCO PHARMA LTD,572500000,57.2500,64,0.4997,56.8460,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
36,DIVI S LABORATORIES LIMITED,550000000,55.0000,55,0.4801,57.3261,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
37,THE RAMCO CEMENTS LIMITED,540000000,54.0000,54,0.4714,57.7975,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
38,UNITED PHOSPHORUS INDIA LLP,500000000,50.0000,50,0.4364,58.2339,substring:LLP,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
39,AUROBINDO PHARMA LIMITED,490000000,49.0000,58,0.4277,58.6616,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
