purchaser_name_raw,party_name,total_amount_inr,total_amount_cr,bond_count
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,BHARATIYA JANATA PARTY,5190000000,519.0000,519
FUTURE GAMING AND HOTEL SERVICES PR,DRAVIDA MUNNETRA KAZHAGAM (DMK),4530000000,453.0000,453
FUTURE GAMING AND HOTEL SERVICES PR,ALL INDIA TRINAMOOL CONGRESS,4350000000,435.0000,435
QWIKSUPPLYCHAINPRIVATELIMITED,BHARATIYA JANATA PARTY,3750000000,375.0000,375
HALDIA ENERGY LIMITED,ALL INDIA TRINAMOOL CONGRESS,2810000000,281.0000,281
VEDANTA LIMITED,BHARATIYA JANATA PARTY,2266500000,226.6500,237
BHARTI AIRTEL LIMITED,BHARATIYA JANATA PARTY,1830000000,183.0000,183
MADANLAL LTD.,BHARATIYA JANATA PARTY,1755000000,175.5000,189
ESSEL MINING AND INDS LTD,BIJU JANATA DAL,1745000000,174.5000,179
FUTURE GAMING AND HOTEL SERVICES PR,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),1540000000,154.0000,154
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,BHARAT RASHTRA SAMITHI,1500000000,150.0000,150
KEVENTER FOODPARK INFRA LIMITED,BHARATIYA JANATA PARTY,1445000000,144.5000,149
DLF COMMERCIAL DEVELOPERS LIMITED,BHARATIYA JANATA PARTY,1300000000,130.0000,130
WESTERN UP POWER TRANSMISSION COMPANY LI MITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1100000000,110.0000,110
BIRLACARBONINDIAPRIVATELIMITED,BHARATIYA JANATA PARTY,1050000000,105.0000,105
VEDANTA LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1040000000,104.0000,104
JINDAL STEEL AND POWER LIMITED,BIJU JANATA DAL,1000000000,100.0000,100
FUTURE GAMING AND HOTEL SERVICES PR,BHARATIYA JANATA PARTY,1000000000,100.0000,100
YASHODA SUPER SPECIALITY HOSPITAL,BHARAT RASHTRA SAMITHI,940000000,94.0000,94
DHARIWAL INFRASTRUCTURE LIMITED,ALL INDIA TRINAMOOL CONGRESS,900000000,90.0000,90
B G SHIRKE CONSTRUCTION TECHNOLOGY PVT L TD,SHIVSENA,850000000,85.0000,85
HALDIA ENERGY LIMITED,BHARATIYA JANATA PARTY,810000000,81.0000,99
WESTERN UP POWER TRANSMISSION COMPANY LI MITED,BHARATIYA JANATA PARTY,800000000,80.0000,80
UTKAL ALUMINA INTERNATIONAL LIMITED,BHARATIYA JANATA PARTY,750000000,75.0000,75
MKJ ENTERPRISES LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",693500000,69.3500,113
YASHODA SUPER SPECIALITY HOSPITAL,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",640000000,64.0000,64
FUTURE GAMING AND HOTEL SERVICES PVT LTD,ALL INDIA TRINAMOOL CONGRESS,620000000,62.0000,62
NCC LIMITED,BHARATIYA JANATA PARTY,600000000,60.0000,60
UTKAL ALUMINA INTERNATIONAL LIMITED,BIJU JANATA DAL,600000000,60.0000,60
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,DRAVIDA MUNNETRA KAZHAGAM (DMK),600000000,60.0000,60
INFINA FINANCE PRIVATE LIMITED,BHARATIYA JANATA PARTY,600000000,60.0000,60
MEGHA ENGINEERING AND INFRASTRUCTURES LTD,BHARATIYA JANATA PARTY,600000000,60.0000,60
TORRENT  POWER  LIMITED,BHARATIYA JANATA PARTY,580000000,58.0000,67
AVEES TRADING FINANCE PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",530000000,53.0000,53
FUTURE GAMING AND HOTEL SERVICES PRIVATE LIMITED,DRAVIDA MUNNETRA KAZHAGAM (DMK),500000000,50.0000,50
FUTURE GAMING AND HOTEL SERVICES PR,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",500000000,50.0000,50
CHENNAI GREEN WOODS PRIVATE LIMITED,BHARAT RASHTRA SAMITHI,500000000,50.0000,50
SRI SIDDHARTH INFRATECH AND SERVICES I P,BHARATIYA JANATA PARTY,500000000,50.0000,50
UNITED PHOSPHORUS INDIA LLP,BHARATIYA JANATA PARTY,500000000,50.0000,50
RUNGTA SONS P LTD,BHARATIYA JANATA PARTY,500000000,50.0000,50
ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,500000000,50.0000,59
RUNGTA SONS P LTD,BIJU JANATA DAL,500000000,50.0000,50
RASHMI CEMENT LTD,BIJU JANATA DAL,450000000,45.0000,45
FUTURE GAMING AND HOTEL SERVICES PRIVATE LIMITED,ALL INDIA TRINAMOOL CONGRESS,450000000,45.0000,45
MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,BHARAT RASHTRA SAMITHI,450000000,45.0000,45
NAVAYUGA  ENGINEERING COMPANY LIMITED,BHARATIYA JANATA PARTY,450000000,45.0000,45
IFB AGRO INDUSTRIES LIMITED,ALL INDIA TRINAMOOL CONGRESS,420000000,42.0000,42
MODERN ROAD MAKERS PVT. LTD.,BHARATIYA JANATA PARTY,400000000,40.0000,40
PCBL LIMITED,ALL INDIA TRINAMOOL CONGRESS,400000000,40.0000,40
VEDANTA LIMITED,BIJU JANATA DAL,400000000,40.0000,40
LAXMI CIVIL ENGINEERING SERVICES PR,BHARATIYA JANATA PARTY,400000000,40.0000,40
SHIRDI SAI ELECTRICALS LTD,TELUGU DESAM PARTY,400000000,40.0000,40
PHL FINIVEST PVT LTD,BHARATIYA JANATA PARTY,400000000,40.0000,40
CHENNAI GREEN WOODS PRIVATE LIMITED,ALL INDIA TRINAMOOL CONGRESS,400000000,40.0000,40
SASMAL INFRASTRUCTURE PRIVATE LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",390000000,39.0000,39
PRARAMBH SECURITIES PVT LTDPROPRIET,ALL INDIA TRINAMOOL CONGRESS,380000000,38.0000,38
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),370000000,37.0000,37
BHARTI TELEMEDIA LIMITED,BHARATIYA JANATA PARTY,370000000,37.0000,37
SWAL CORPORATION LIMITED,BHARATIYA JANATA PARTY,350000000,35.0000,35
NEXG DEVICES PVT LTD,BHARATIYA JANATA PARTY,350000000,35.0000,35
IFB AGRO INDUSTRIES LIMITED,RASHTRIYA JANTA DAL,350000000,35.0000,35
SAFAL GOYAL REALTY LLP,BHARATIYA JANATA PARTY,350000000,35.0000,35
CRESCENT POWER LTD,ALL INDIA TRINAMOOL CONGRESS,330000000,33.0000,42
PRARAMBH SECURITIES PVT LTDPROPRIET,BHARATIYA JANATA PARTY,330000000,33.0000,33
DR.REDDY'S LABORATORIES LTD,BHARAT RASHTRA SAMITHI,320000000,32.0000,32
TORRENT PHARMACEUTICALS LTD,BHARATIYA JANATA PARTY,320000000,32.0000,32
AUROBINDO PHARMA LIMITED,BHARATIYA JANATA PARTY,315000000,31.5000,36
LCCPROJECTSPRIVATELIMITED,BHARATIYA JANATA PARTY,315000000,31.5000,36
JINDAL STAINLESS LTD,BIJU JANATA DAL,300000000,30.0000,30
CIPLA LIMITED,BHARATIYA JANATA PARTY,300000000,30.0000,30
B G SHIRKE CONSTRUCTION TECHNOLOGY PVT L TD,BHARATIYA JANATA PARTY,300000000,30.0000,30
RITHWIK PROJECTS  PRIVATE LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",300000000,30.0000,30
HETERO DRUGS LIMITED,BHARAT RASHTRA SAMITHI,300000000,30.0000,30
DIVI S LABORATORIES LIMITED,BHARATIYA JANATA PARTY,300000000,30.0000,30
SEPC POWER PVT LTD OPERATION RETEN,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",300000000,30.0000,30
HONEYWELL PROPERTIES PVT LTD,BHARATIYA JANATA PARTY,300000000,30.0000,30
TORRENT PHARMACEUTICALS LIMITED,BHARATIYA JANATA PARTY,290000000,29.0000,38
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,TELUGU DESAM PARTY,280000000,28.0000,28
PENGUIN TRADING & AGENCIES LIMITED,BIJU JANATA DAL,275000000,27.5000,32
MKJ ENTERPRISES LTD,ALL INDIA TRINAMOOL CONGRESS,274000000,27.4000,31
RASHMI METALIKS LTD,BIJU JANATA DAL,270000000,27.0000,27
JINDAL SAW LIMITED,BHARATIYA JANATA PARTY,270000000,27.0000,27
KALPATARU PROJECTS INTERNATIONAL LIMITED,BHARATIYA JANATA PARTY,255000000,25.5000,30
GENUS POWER INFRASTRUCTURES LIMITED,BHARATIYA JANATA PARTY,255000000,25.5000,30
QWIKSUPPLYCHAINPRIVATELIMITED,SHIVSENA,250000000,25.0000,25
THE RAMCO CEMENTS LIMITED,BHARATIYA JANATA PARTY,250000000,25.0000,25
AUTHUM INVESTMENT AND INFRASTRUCTURE LTD,BHARATIYA JANATA PARTY,250000000,25.0000,25
PIRAMAL ENTERPRISES LIMITED,BHARATIYA JANATA PARTY,250000000,25.0000,25
DHARIWAL INFRASTRUCTURE LIMITED,BHARATIYA JANATA PARTY,250000000,25.0000,25
MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,DRAVIDA MUNNETRA KAZHAGAM (DMK),250000000,25.0000,25
DLF LUXURY HOMES LIMITED,BHARATIYA JANATA PARTY,250000000,25.0000,25
MAHINDRA & MAHINDRA LTD,BHARATIYA JANATA PARTY,250000000,25.0000,25
IRB MP EXPRESSWAY PRIVATE LIMITED,BHARAT RASHTRA SAMITHI,250000000,25.0000,25
PRATHMESH CONSTRUCTION,BHARATIYA JANATA PARTY,250000000,25.0000,25
THE RAMCO CEMENTS LIMITED,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),240000000,24.0000,24
DR.REDDY'S LABORATORIES LTD,BHARATIYA JANATA PARTY,240000000,24.0000,24
MANKIND PHARMA LIMITED,BHARATIYA JANATA PARTY,240000000,24.0000,24
AVEES TRADING & FINANCE PVT LTD,ALL INDIA TRINAMOOL CONGRESS,240000000,24.0000,24
GRASIM INDUSTRIES LTD,BHARATIYA JANATA PARTY,230000000,23.0000,23
MKJ ENTERPRISES LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",222500000,22.2500,29
SIDDHI TRADING,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",220000000,22.0000,22
L7 HITECH PRIVATE LIMITED,BHARAT RASHTRA SAMITHI,220000000,22.0000,22
AVEES TRADING FINANCE PVT LTD,ALL INDIA TRINAMOOL CONGRESS,215000000,21.5000,26
VEDANTA LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",210000000,21.0000,21
KOYA AND COMPANY CONSTRUCTION LTD,BHARAT RASHTRA SAMITHI,200000000,20.0000,20
BKC PROPERTIES PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",200000000,20.0000,20
HERO MOTOCORP LIMITED,BHARATIYA JANATA PARTY,200000000,20.0000,20
MARUTI SUZUKI INDIA LTD,BHARATIYA JANATA PARTY,200000000,20.0000,20
MAATHA PROJECTS LLP,BHARATIYA JANATA PARTY,200000000,20.0000,20
JINDAL STEEL AND POWER LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",200000000,20.0000,20
DIVI S LABORATORIES LIMITED,BHARAT RASHTRA SAMITHI,200000000,20.0000,20
TELLAPUR TECHNOCITY PRIVATE LIMI,BHARAT RASHTRA SAMITHI,200000000,20.0000,20
HONOUR LAB LTD,BHARAT RASHTRA SAMITHI,200000000,20.0000,20
WESTERN UP POWER TRANSMISSION COMPANY LI MITED,TELUGU DESAM PARTY,200000000,20.0000,20
INTAS PHARMACEUTICALS LIMITED,BHARATIYA JANATA PARTY,200000000,20.0000,20
